,cluster,clust_amp,KSLabel,ContamPct,times,spAmps,spikeDepth,spikeSites,sID,geno,brainArea,brainAreaOri,probeCat
0,89,96.6,mua,100.0,0.00728,20.047014236450195,32.62607700477012,32,2019-03-25,het,M1,,
1,113,34.7,mua,100.0,0.00988,13.206839561462402,43.51149479421701,42,2019-03-25,het,M1,,
2,74,84.2,mua,100.0,0.01012,15.178147315979004,27.836762675563975,26,2019-03-25,het,M1,,
3,120,80.3,good,6.7,0.02048,22.31550407409668,44.915714548642654,44,2019-03-25,het,M1,,
4,90,84.5,mua,100.0,0.02116,24.646711349487305,32.452181200198645,32,2019-03-25,het,M1,,
5,63,62.5,mua,100.0,0.02392,11.857697486877441,24.710002504257158,23,2019-03-25,het,M1,,
6,104,112.1,good,4.3,0.02704,19.196937561035156,40.16453891900413,39,2019-03-25,het,M1,,
7,161,64.5,mua,100.0,0.02704,15.571455955505371,44.01573353540616,45,2019-03-25,het,M1,,
8,101,76.7,good,9.0,0.02768,22.08135414123535,47.69257658793278,38,2019-03-25,het,M1,,
9,96,146.7,good,0.6,0.02972,34.443084716796875,37.000484547011844,35,2019-03-25,het,M1,,
